Title,Author,PDF URL
Meta-Surrogate Benchmarking for Hyperparameter Optimization,Unknown Author,https://papers.nips.cc/paper_files/paper/2019/hash/0668e20b3c9e9185b04b3d2a9dc8fa2d-Abstract.html
Time-Accuracy Tradeoffs for Learning a ReLU with respect to Gaussian Marginals,Unknown Author,https://papers.nips.cc/paper_files/paper/2019/hash/067a26d87265ea39030f5bd82408ce7c-Abstract.html
Bayesian Optimization under Heavy-tailed Payoffs,Unknown Author,https://papers.nips.cc/paper_files/paper/2019/hash/06a50e3f66db4a334202d3adfd31c589-Abstract.html
Distribution Learning of a Random Spatial Field with a Location-Unaware Mobile Sensor,Unknown Author,https://papers.nips.cc/paper_files/paper/2019/hash/06bf16f1f0372a63d520eac6cf7c5af7-Abstract.html
State Aggregation Learning from Markov Transition Data,Unknown Author,https://papers.nips.cc/paper_files/paper/2019/hash/070dbb6024b5ef93784428afc71f2146-Abstract.html
Reliable training and estimation of variance networks,Unknown Author,https://papers.nips.cc/paper_files/paper/2019/hash/07211688a0869d995947a8fb11b215d6-Abstract.html
Meta-Learning with Implicit Gradients,Unknown Author,https://papers.nips.cc/paper_files/paper/2019/hash/072b030ba126b2f4b2374f342be9ed44-Abstract.html
Differentially Private Markov Chain Monte Carlo,Unknown Author,https://papers.nips.cc/paper_files/paper/2019/hash/074177d3eb6371e32c16c55a3b8f706b-Abstract.html
Universal Boosting Variational Inference,Unknown Author,https://papers.nips.cc/paper_files/paper/2019/hash/07a4e20a7bbeeb7a736682b26b16ebe8-Abstract.html
LIIR- Learning Individual Intrinsic Reward in Multi-Agent Reinforcement Learning,Unknown Author,https://papers.nips.cc/paper_files/paper/2019/hash/07a9d3fed4c5ea6b17e80258dee231fa-Abstract.html
A Normative Theory for Causal Inference and Bayes Factor Computation in Neural Circuits,Unknown Author,https://papers.nips.cc/paper_files/paper/2019/hash/07cb5f86508f146774a2fac4373a8e50-Abstract.html
The Geometry of Deep Networks- Power Diagram Subdivision,Unknown Author,https://papers.nips.cc/paper_files/paper/2019/hash/0801b20e08c3242125d512808cd74302-Abstract.html
Visual Sequence Learning in Hierarchical Prediction Networks and Primate Visual Cortex,Unknown Author,https://papers.nips.cc/paper_files/paper/2019/hash/08040837089cdf46631a10aca5258e16-Abstract.html
Equal Opportunity in Online Classification with Partial Feedback,Unknown Author,https://papers.nips.cc/paper_files/paper/2019/hash/084afd913ab1e6ea58b8ca73f6cb41a6-Abstract.html
Semi-Parametric Efficient Policy Learning with Continuous Actions,Unknown Author,https://papers.nips.cc/paper_files/paper/2019/hash/08b7dc6e8b36bcaac15847827b7951a9-Abstract.html
